ID;Active (0/1);Name *;Categories (x,y,z...);Reference #;EAN13;Tags,(x,y,z...);Feature(Name:Value:Position)
553;1;Banke Bihari Temple;8;Mathura;Uttar Pradesh;Banke,Bihari,Temple,Mathura,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Mathura
554;1;Dashashwamedh Ghat;8;;Uttar Pradesh;Dashashwamedh,Ghat,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:
555;1;Assi Ghat;8;Varanasi;Uttar Pradesh;Assi,Ghat,Varanasi,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Varanasi
556;1;Khusro Bagh;8;Allahabad;Uttar Pradesh;Khusro,Bagh,Allahabad,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Allahabad
557;1;Jama Mosque;8;Agra;Uttar Pradesh;Jama,Mosque,Agra,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Agra
558;1;Prem Mandir;8;Vrindavan;Uttar Pradesh;Prem,Mandir,Vrindavan,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Vrindavan
559;1;Chota Imambara;8;Lucknow;Uttar Pradesh;Chota,Imambara,Lucknow,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Lucknow
560;1;Allahabad Fort;8;Allahabad;Uttar Pradesh;Allahabad,Fort,Allahabad,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Allahabad
561;1;Ramnagar Fort;8;Varanasi;Uttar Pradesh;Ramnagar,Fort,Varanasi,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Varanasi
562;1;Triveni Sangam;8;Allahabad;Uttar Pradesh;Triveni,Sangam,Allahabad,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Allahabad
563;1;Chaukhandi Stupa;8;Varanasi;Uttar Pradesh;Chaukhandi,Stupa,Varanasi,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Varanasi
564;1;Allen Forest Zoo;8;Kanpur;Uttar Pradesh;Allen,Forest,Zoo,Kanpur,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Kanpur
