ID;Active (0/1);Name *;Categories (x,y,z...);Reference #;EAN13;Tags,(x,y,z...);Feature(Name:Value:Position)
65;1;Gahirmatha (Marine)  Wildlife Sanctuary;8;Kendrapada;Odisha;Kendrapada,Gahirmatha,(Marine),Wildlife,Sanctuary;State:Odisha,Dist/Location:Kendrapada
66;1;Hadgarh  Wildlife Sanctuary;8;Keonjhar;Odisha;Keonjhar,Hadgarh,Wildlife,Sanctuary;State:Odisha,Dist/Location:Keonjhar
67;1;Karlapat  Wildlife Sanctuary;8;Kalahandi,Bhabanipatna;Odisha;Kalahandi,Bhabanipatna,Karlapat,Wildlife,Sanctuary;State:Odisha,Dist/Location:Kalahandi & Bhabanipatna
68;1;Khalasuni  Wildlife Sanctuary;8;Sambalpur;Odisha;Sambalpur,Khalasuni,Wildlife,Sanctuary;State:Odisha,Dist/Location:Sambalpur
69;1;Kotagarh  Wildlife Sanctuary;8;Kandhamal;Odisha;Kandhamal,Kotagarh,Wildlife,Sanctuary;State:Odisha,Dist/Location:Kandhamal
70;1;Kuldiha  Wildlife Sanctuary;8;Baleswar;Odisha;Baleswar,Kuldiha,Wildlife,Sanctuary;State:Odisha,Dist/Location:Baleswar
71;1;Lakhari Valley  Wildlife Sanctuary;8;Ganjam;Odisha;Ganjam,Lakhari,Valley,Wildlife,Sanctuary;State:Odisha,Dist/Location:Ganjam
72;1;Satkosia Gorge  Wildlife Sanctuary;8;Anugul;Odisha;Anugul,Satkosia,Gorge,Wildlife,Sanctuary;State:Odisha,Dist/Location:Anugul
73;1;Sunabeda  Wildlife Sanctuary;8;Nuapada;Odisha;Nuapada,Sunabeda,Wildlife,Sanctuary;State:Odisha,Dist/Location:Nuapada
74;1;Gahirmatha Beach;8;Kendrapada;Odisha;Kendrapada,Gahirmatha,Beach;State:Odisha,Dist/Location:Kendrapada
