ID;Width;Height
478;14.455952;75.881194
479;12.460553;75.9507
480;13.869434;74.805662
481;14.092072;74.475138
482;13.506445;75.075073
483;13.424028;75.240539
484;14.618773;74.82011
485;12.951308;75.362626
486;13.164133;75.856847
487;13.346088;74.75707
488;13.349465;77.062504
489;12.188676;77.019761
490;13.550021;75.741224
491;16.216244;77.317077
492;14.305042;75.96292
493;12.854101;76.447591
494;13.623652;74.675875
495;13.431155;77.713903
496;12.899733;77.26557
497;12.900334;77.019614
498;13.2131;75.988792
499;12.204437;75.787161
500;12.37973;75.217844
501;15.364753;75.038935
502;12.979641;77.588521
503;12.974765;77.593685
504;12.975541;77.588806
505;12.950748;77.582583
506;12.98487;77.587378
507;12.942893;77.566064
508;12.30514;76.652954
509;12.302437;76.661558
510;12.424153;76.570831
511;12.425536;76.571325
512;11.96557;75.981502
513;12.414075;75.734776
514;12.455152;75.717541
515;13.221062;75.243205
516;0;0
517;13.39096;75.712609
518;13.213959;74.980291
519;13.067916;74.994685
520;13.424028;75.240539
521;13.501633;75.076807
522;13.412898;75.118292
523;13.486974;74.927879
524;13.485367;75.105385
525;13.488168;75.084772
526;13.816616;75.175463
527;13.792242;75.167891
528;12.413684;76.603114
529;13.387446;75.17737
530;13.270405;75.153557
531;12.506517;76.292834
532;13.964048;74.646947
533;13.876918;74.886112
534;13.945256;74.696115
535;13.863794;74.81226
536;14.231164;74.443644
537;13.55053;75.763353
538;0;0
539;13.541568;75.723053
540;14.409997;74.745907
541;14.51964;74.60765
542;12.681441;75.721673
543;27.322275;78.509033
544;27.192892;78.028787
545;27.179538;78.018918
546;25.310858;83.008484
547;27.22056;77.948315
548;25.310875;83.011892
549;25.38087;83.022331
550;27.179954;78.039494
551;27.09697;77.663595
552;27.504732;77.667484
553;27.580153;77.698888
554;27.322275;78.509033
555;25.289374;83.004232
556;25.442263;81.818876
557;27.182094;78.014015
558;27.572057;77.669912
559;26.873286;80.901863
560;25.429393;81.874678
561;25.270262;83.022884
562;25.422375;81.884429
563;25.374025;83.021394
564;26.50194;80.297091
565;25.379581;83.021194
566;26.795001;82.199501
567;27.215294;77.939839
568;27.178858;78.021324
569;27.929962;78.058634
570;27.200891;78.032097
571;25.460102;81.858319
572;27.473018;77.435224
573;25.458897;81.858062
574;27.180399;78.019418
575;27.205434;78.036059
576;27.094763;77.660591
577;27.495664;77.677042
578;26.615412;80.64992
579;26.795636;82.192165
580;25.311263;83.008291
581;26.476154;80.311782
582;28.350294;77.532519
583;24.949978;83.17041
584;19.056936;72.900774
585;24.959199;83.006602
586;0;0
587;24.964326;82.819453
588;0;0
589;0;0
590;25.332906;83.013059
