ID;Categories (x,y,z...)
1097;45,24,25
1098;45,24
1099;45,24
1100;45,24,27
1101;45,24,13
1102;45,24,13
1103;45,24,26
1104;45,24
1105;45,24,26
1106;45,24
1107;45,24,25
1108;45,24
1109;45,24,13
1110;45,24
1111;45,24,26
1112;45,24
1113;45,24
1114;45,24,13
1115;45,24
1116;45,21,24
1117;45,24,13
1118;45,24,13
1119;45,24,25
1120;45,24
1121;45,24,13
1122;45,24
1123;45,24,13
1124;45,24,13
1125;45,24
1126;45,24
1127;45,24
1128;45,24
1129;45,24,13
1130;45,24
1131;45,24
1132;45,24,27
1133;45,24
1134;45,24,15
1135;45,24
1136;45,24
1137;45,24
1138;45,24
1139;45,24
1140;45,24
1141;45,24
1142;45,24
1143;45,24,27
1144;45,24,13
1145;45,24,27
1146;45,24
1147;45,24
1148;45,24
1149;45,24
1150;45,24
1151;45,24
1152;45,24,16
1153;45,24,16
1154;45,24
1155;45,24,16
1156;45,24,27
1157;45,24,16
1158;45,24,16
1159;45,24
1160;45,24
1161;45,23,24,16
1162;45,21,24
1163;45,24
1164;45,21,24
1165;45,24
1166;45,24,16
1167;45,24,16
1168;53,16
1169;53,24
1170;53,16
1171;53,27
1172;53,24
1173;53
1174;53
1175;53,24,16
1176;53
1177;53,24,27
1178;53,24,13
1179;53,16
1180;53,24
1181;53,24,27
1182;53,24
1183;53
1184;53,47
1185;53
1186;53,47
1187;53
1188;53,24
1189;53,27
1190;53
1191;53
1192;53,16
1193;53
1194;53
1195;53
1196;53,19
1197;53
1198;53
1199;53,19
1200;53
1201;58,25
1202;58,13
1203;58,25
1204;58
1205;58,26
1206;58,21
1207;58,21
1208;58,13
1209;58,13
1210;58
1211;58,13
1212;58
1213;58,27
1214;58
1215;58
1216;58,27
1217;58,19
1218;58
1219;58
1220;58,21
1221;58
1222;58
1223;58,26
1224;58
1225;58
1226;58,13
1227;58,13
1228;58
1229;58
1230;58,27
1231;29
1232;29,23
1233;29
1234;29,27
1235;29,23
1236;29,47
1237;29,47
1238;29,47
1239;29
1240;29,27
1241;29,19
1242;29
1243;29,27
1244;29
1245;29,23
1246;29
1247;29,19
1248;29,15
1249;29,27
1250;29
1251;29
1252;29,26
1253;29
1254;29,47
1255;29,27
1256;29
1257;29
1258;29
1259;29,47
1260;29
1261;29,26
1262;50
1263;50
1264;50
1265;50
1266;50,26
1267;50,15
1268;50
1269;50
1270;50
1271;50
1272;50
1273;50
1274;50,27
1275;50
1276;50
1277;50,47
1278;50
1279;50
1280;50,27
1281;50
1282;50
1283;50,21
1284;50
1285;50,21
1286;50,21
1287;50,27
1288;50,23
1289;4,27
1290;4,25
1291;4
1292;4,13
1293;4,26
1294;4,19
1295;4,13
1296;4
1297;4,26
1298;4
1299;4
1300;4
1301;4,13
1302;4
1303;4
1304;4
1305;4,47
1306;4
1307;4
1308;4
1309;4,21
1310;4,27
1311;4
1312;4,23
1313;4,21
1314;38,24,27
1315;38,19,24
1316;38,24
1317;38,24
1318;38,24
1319;38,24
1320;38,24
1321;38,24,13
1322;38,24
1323;38,24,13
1324;38,24,13
1325;38,24
1326;38,24
1327;38,24
1328;38,24,15
1329;38,24
1330;38,24
1331;38,24,13
1332;38,24,27
1333;38,24
1334;38,47,24
1335;38,24
1336;38,24
1337;38,24
1338;38,21,24
1339;38,24,27
1340;38,24,25
1341;38,24,27
1342;38,24,13
1343;38,47,24
1344;38,24
1345;38,47,24
1346;38,24
1347;38,24
1348;38,24,15
1349;38,24,13
1350;38,24,15
1351;38,24
1352;38,24
1353;38,24
1354;38,24
1355;38,24
1356;38,24,13
1357;38,24,13
1358;38,24,13
1359;38,24
1360;38,24,13
1361;38,24
1362;38,24,16
1363;38,21,24
1364;38,47,24
1365;38,24
1366;38,24
1367;38,24
1368;38,24
1369;38,24
1370;38,24
1371;38,24,13
1372;38,21,24
1373;38,24
1374;38,24
1375;38,24
1376;38,24
1377;38,24
1378;38,24,26
1379;38,24
1380;38,24,13
1381;38,24,13
1382;38,24,15
1383;38,24
1384;38,24,13
1385;38,24
1386;38,24,13
1387;38,24,16
1388;38,24
1389;38,24
1390;38,24,13
1391;38,24,16
1392;38,24,26
1393;38,24,13
1394;38,24,27
1395;38,24
1396;38,24
1397;38,24,13
1398;38,24
1399;38,24,27
1400;38,24,16
1401;38,24
1402;38,24,27
1403;38,24
1404;38,24
1405;38,24,16
1406;38,24
1407;38,19,24
1408;38,24
1409;38,24
1410;38,24
1411;38,24,13
1412;38,24
1413;38,24,13
1414;38,24
1415;38,24,15
1416;38,24,13
1417;38,24,26
1418;38,24,25
1419;38,24,13
1420;38,24
1421;38,24,27
1422;38,24,15
1423;38,19,24
1424;38,24,15
1425;38,24
1426;38,24
1427;38,47,24
1428;38,24
1429;38,24,13
1430;38,24,13
1431;38,24
1432;38,24,25
1433;38,24,13
1434;38,24
1435;38,24,13
1436;38,24
1437;38,24,27
1438;38,24,13
1439;38,24
1440;38,21,24
1441;38,24,27
1442;38,21,24
1443;38,24
1444;38,24,26
1445;38,24
1446;38,24
1447;38,24,27
1448;38,24
1449;38,24,16
1450;38,47,24
1451;38,21,24
1452;36,18
1453;36,18
1454;36,18
1455;36,18
1456;36,18
1457;36,18
1458;36,18
1459;36,18
1460;36,18
1461;36,18
1462;36,18
1463;36,18
1464;36,18
1465;36,18
1466;36,18
1467;36,18
1468;36,18
1469;36,18
1470;36,18
1471;36,18
1472;36,18
1473;36,18
1474;36,18
1475;36,18
1476;36,18
1477;36,18
1478;36,18
1479;36,18
1480;36,18
1481;36,18
